ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
539518,"RIOBA Чай Лесные Десерты зеленый (2г х 20шт), 40г",https://online.metro-cc.ru/products/rioba-lesnye-deserty-zelenyj-20-paketikov-h-2-g,253,,RIOBA
210153,"Чай Greenfield Green Melissa зеленый (1.5г х 25 пак), 38г",https://online.metro-cc.ru/products/greenfield-zelenyj-s-myatoj-melissoj-green-melissa-25x15g,122,94.9,GREENFIELD
412744,"Чай Ahmad Tea Jasmine Green Tea зеленый с жасмином (2г х 25шт), 50г",https://online.metro-cc.ru/products/ahmad-tea-s-zhasminom-zelenyj-25h2-g,143,,AHMAD TEA
208213,"Чай Ahmad Tea Earl Grey черный с ароматом бергамота (2г х 25 пак), 50г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-s-aromatom-bergamota-earl-grey-25-pak,130,99.9,AHMAD TEA
225957,"RIOBA Чай черный для заваривания в чайнике Английский завтрак (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-chernyj-dlya-zavarivaniya-v-chajnike-anglijskij-zavtrak-20x5g,389,,RIOBA
506900,"Чай Greenfield Peach mellow peach зеленый (1.8г x 25шт), 45г",https://online.metro-cc.ru/products/greenfield-zelenyj-s-aromatom-persika-cedroj-mandarina-peach-mellow-25-18g,122,94.9,GREENFIELD
225945,"Чай Greenfield Jasmine Dream зеленый (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-zelenyj-jasmine-dream-100x2g,359,299,GREENFIELD
506770,"Чай Greenfield Grand Fruit черный (1.5г x 25шт), 38г",https://online.metro-cc.ru/products/greenfield-chernyj-s-aromatom-granata-rastitelnymi-komponentami-grand-fruit-25-pak,122,94.9,GREENFIELD
129648,"Чай Newby Assam черный (2г x 50шт), 100г",https://online.metro-cc.ru/products/chernyj-newby-assam-50-2g,1229,,NEWBY
257056510,"Чай Richard Royal Blackcurrant & Golden Apple (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-smorodina-yabloko-paketirovannyy,125,89.9,RICHARD
148440,"Чай Greenfield Flying Dragon зеленый (2г х 25 пак), 50г",https://online.metro-cc.ru/products/greenfield-zelenyj-flying-dragon-25x2g,122,94.9,GREENFIELD
89197,"Чай Akbar Gold черный цейлонский листовой, 250г",https://online.metro-cc.ru/products/akbar-chernyj-bajhovyj-cejlonskij-gold-250g,379,309,AKBAR
264788494,"Чай Richard черный персик-мята (1.7г x 25шт), 43г",https://online.metro-cc.ru/products/25h17g-chay-richard-chyornyy-persik-myata-paketirovannyy,125,89.9,RICHARD
237429037,"Чай Richard Tea №1 черный мята-цитрус (2г х 25шт), 50г",https://online.metro-cc.ru/products/25x2g-chay-richard-kings-tea-1-chyornyy-myatatsitrus,125,89.9,RICHARD
101999,"Чай Newby Jasmine Blossom зеленый (2г x 50шт), 100г",https://online.metro-cc.ru/products/newby-zelenyj-jasmine-blossom-50-2g,1409,,NEWBY
121756,"Чай Akbar Classic Series черный пакетированный (2г х 100шт), 200г",https://online.metro-cc.ru/products/akbar-chernyj-klassicheskij-100h2g,329,229,AKBAR
188194,"Чай Greenfield Kenyan Sunrise черный листовой, 200г",https://online.metro-cc.ru/products/greenfield-chernyj-kenyan-sunrise-200g,289,239,GREENFIELD
517570,"Чай Richard Royal English Breakfast черный (2г х 25шт), 50г",https://online.metro-cc.ru/products/chernyj-richard-royal-english-breakfast-25-paketikov,125,89.9,RICHARD
225344,"RIOBA Чай зеленый байховый для заваривания в чайнике Молочный улун (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-zelenyj-bajhovyj-dlya-zavarivaniya-v-chajnike-molochnyj-ulun-20-5g,389,,RIOBA
225910,"RIOBA Чай черный для заваривания в чайнике Эрл Грей (5г х 20шт), 100г",https://online.metro-cc.ru/products/rioba-chernyj-dlya-zavarivaniya-v-chajnike-erl-grej-20x5g,389,,RIOBA
577064,"RIOBA Чай Матча зеленый Премиум, 100г",https://online.metro-cc.ru/products/rioba-matcha-zelenyj-100g,609,,RIOBA
478481,"Чай Althaus Royal Earl Grey ароматизированный (1.75г х 20шт), 35г",https://online.metro-cc.ru/products/althaus-royal-earl-grey-v-paketikah-20-175g,449,,ALTHAUS
8910084,"Чай Richard Royal Lemon ароматизированный (1.7г х 25шт), 42г",https://online.metro-cc.ru/products/chay-richard-royal-lemon-paketirovannyy-25-x-17g,125,89.9,RICHARD
386093,"Чай Richard Royal Ceylon черный байховый (2г х 25шт), 50г",https://online.metro-cc.ru/products/richard-chernyj-bajhovyj-royl-ceylon-v-sashe-25-pak,125,89.9,RICHARD
226285,"Чай Greenfield Classic Breakfast черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/greenfield-chernyj-slassic-breakfast-100x2g,359,299,GREENFIELD
86076,"Чай Akbar Mountain Fresh черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/akbar-chernyj-mountain-fresh-100-2g,293,229,AKBAR
311826802,"Чай Akbar Mountain Fresh черный пакетированный (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-akbar-mountain-fresh-chyornyy-paketirovannyy,94.9,59.9,AKBAR
257407795,"Чай Richard черный апельсин-корица (2г x 25шт), 50г",https://online.metro-cc.ru/products/25h2g-chay-richard-chyornyy-apelsin-koritsa-paketirovan,125,89.9,RICHARD
259529,"Чай Basilur Magic Nights листовой черный, 100г",https://online.metro-cc.ru/products/basilur-chernyj-magic-nights-100g,419,,BASILUR
601355648,"Сокочай черный Befruitbe имбирь-яблоко-облепиха, 100г",https://online.metro-cc.ru/products/100g-sokochay-chernyy-befruitbe-imbiryablokooblepiha,589,,BEFRUITBE
619087,"Чай Чёрный дракон зеленый с жасмином, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-zelyonyj-s-zhasminom,169,149,ЧЁРНЫЙ ДРАКОН
619437,"Чай Чёрный дракон зеленый молочный, 100г",https://online.metro-cc.ru/products/100g-chyornyj-drakon-molochnyj-zelenyj,169,149,ЧЁРНЫЙ ДРАКОН
386770,"RIOBA Чайный напиток Наглый фрукт, 400г",https://online.metro-cc.ru/products/rioba-napitok-naglyj-frukt-400g,709,,RIOBA
549082,"Чай Curtis Delicate mango в пирамидках (1.8г х 20шт), 36г",https://online.metro-cc.ru/products/curtis-mango-20-piramidok-h-18-g,109,79.9,CURTIS
601583353,"Чай черный Richard All the best wishes, 80г",https://online.metro-cc.ru/products/chay-chernyy-richard-all-the-best-wishes-80g,519,,RICHARD
130688,"Чай Ahmad Tea English Tea No.1 черный листовой с ароматом бергамота, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-listovoj-s-aromatom-bergamota-english-tea-no1-200g,409,299,AHMAD TEA
94252,"Чай Akbar Ceylon черный (2г х 100шт), 200г",https://online.metro-cc.ru/products/chernyj-akbar-ceylon-100h2g,293,229,AKBAR
218281,"Чай Ahmad Tea Ceylon High Mountain черный листовой, 200г",https://online.metro-cc.ru/products/ahmad-tea-chernyj-ceylon-high-mountain-200g,409,299,AHMAD TEA
